County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
El Paso,32.7,26.74,12.53,1.59,82.84,91.94,3.96,1.05,1.35,0.21,1.49,35856,43948,38858,20.5,28.9,97.83,2.17,76.5,21.7,4.6,839238,790.61,23.8,76.2,Texas,48141,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Ellis,36.4,26.52,13.14,1.24,26.56,84.86,11.39,0.86,0.81,0.14,1.94,44313,76792,44378,8.8,14.0,68.02,31.98,84.6,21.9,3.4,184826,159.93,18.8,81.2,Texas,48139,TX,1,Metro - Counties in metro areas of 1 million population or more
Erath,31.6,20.68,14.65,1.86,21.44,94.14,1.94,1.27,1.01,0.09,1.55,39572,47087,35913,18.1,20.1,53.68,46.32,83.9,28.2,3.4,42698,34.98,20.8,79.2,Texas,48143,TX,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Falls,39.6,20.96,18.65,2.29,23.41,71.74,24.28,1.14,0.63,0.21,2.01,34619,37428,37276,21.7,27.7,32.64,67.36,75.7,11.9,4.2,17297,23.34,20.7,79.3,Texas,48145,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Fannin,41.1,21.16,18.55,2.02,11.61,89.01,6.52,1.39,0.75,0.07,2.25,37605,53111,41415,13.8,19.5,29.47,70.53,83.0,15.6,3.3,35514,38.07,20.1,79.9,Texas,48147,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Fayette,47.9,20.02,26.35,3.61,21.3,90.41,6.56,1.23,0.48,0.06,1.26,53564,55776,41065,13.3,19.4,32.86,67.14,81.7,17.1,3.2,25346,25.85,19.5,80.5,Texas,48149,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Fisher,45.8,21.36,25.09,3.6,28.5,91.86,4.16,1.18,0.55,0.18,2.07,46444,45261,42362,15.5,21.3,0.0,100.0,82.8,18.4,3.5,3830,4.42,19.9,80.1,Texas,48151,TX,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Floyd,38.1,26.42,18.73,2.68,58.98,92.27,4.17,1.4,0.47,0.02,1.68,37367,39891,37195,21.0,33.3,46.68,53.32,73.2,16.4,5.5,5712,6.5,22.8,77.2,Texas,48153,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Foard,50.2,20.0,27.27,3.98,18.98,92.36,4.7,0.67,0.84,0.0,1.43,42954,37648,29202,18.0,31.0,0.0,100.0,80.8,16.0,3.4,1155,1.9,22.7,77.3,Texas,48155,TX,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Fort Bend,36.8,27.31,11.56,0.98,24.71,55.24,21.11,0.6,20.71,0.09,2.25,57540,92310,51859,7.9,10.4,94.46,5.54,89.2,44.6,4.6,811688,679.5,13.2,86.8,Texas,48157,TX,1,Metro - Counties in metro areas of 1 million population or more
